PWGTP,WGTP,PINCP,AGEP,SCHL,ST,
15,0,20000,43,19,41,
11,0,410,29,16,41,
115,0,16000,79,16,41,
2,0,2800,20,18,41,
18,0,50000,59,18,41,
29,0,10700,60,16,41,
73,0,0,27,18,41,
73,0,26100,90,19,41,
14,0,14000,59,12,41,
4,0,59800,85,21,41,
8,0,0,18,14,41,
52,0,10500,89,16,41,
40,0,12000,20,19,41,
70,0,8400,90,22,41,
17,0,900,18,18,41,
10,0,10800,70,16,41,
16,0,11000,32,19,41,
75,0,3000,18,18,41,
41,0,0,52,17,41,
114,0,7000,41,19,41,
30,0,0,68,13,41,
22,0,11000,32,19,41,
7,0,20600,78,16,41,
61,0,250,19,19,41,
39,0,33040,22,19,41,
124,0,50000,71,19,41,
5,0,76500,91,21,41,
119,0,14400,71,19,41,
35,0,2700,74,23,41,
36,0,16000,86,21,41,
63,0,58000,51,20,41,
19,0,9800,78,21,41,
53,0,0,57,15,41,
46,0,19000,20,19,41,
22,0,8000,18,19,41,
15,0,0,40,16,41,
17,0,12000,63,21,41,
26,0,15380,68,18,41,
14,0,0,38,16,41,
38,0,10700,60,16,41,
92,0,10700,62,11,41,
6,0,58200,75,18,41,
34,0,62000,95,18,41,
2,0,0,16,14,41,
14,0,0,28,13,41,
33,0,200,49,16,41,
72,0,0,20,19,41,
9,0,8900,40,1,41,
44,0,14400,19,19,41,
49,0,4900,19,16,41,
45,0,9100,60,16,41,
93,0,6000,64,19,41,
75,0,18000,83,17,41,
13,0,0,34,14,41,
27,0,0,19,16,41,
50,0,10200,18,18,41,
40,0,400,19,17,41,
110,0,8000,18,19,41,
56,0,410,29,16,41,
34,0,3200,20,19,41,
54,0,0,36,19,41,
3,0,3000,18,16,41,
33,0,7300,18,16,41,
61,0,21600,84,16,41,
108,0,9500,77,19,41,
37,0,0,40,18,41,
42,0,0,57,8,41,
81,0,11700,70,16,41,
23,0,0,46,19,41,
8,0,26100,90,19,41,
51,0,300,62,16,41,
36,0,16600,18,18,41,
73,0,300,44,14,41,
12,0,10100,48,18,41,
4,0,0,42,17,41,
55,0,1200,27,19,41,
39,0,16400,45,11,41,
181,0,17000,50,17,41,
8,0,30000,95,22,41,
59,0,9700,90,16,41,
50,0,10200,18,18,41,
37,0,16000,79,16,41,
50,0,0,45,17,41,
93,0,14000,77,18,41,
86,0,17000,35,16,41,
90,0,19800,95,16,41,
70,0,20000,28,17,41,
26,0,16000,86,21,41,
9,0,10300,53,19,41,
61,0,0,30,17,41,
60,0,0,30,17,41,
57,0,0,67,23,41,
48,0,7600,18,20,41,
20,0,16000,50,16,41,
53,0,13100,18,19,41,
22,0,640,32,11,41,
46,0,3100,18,18,41,
39,0,0,19,16,41,
10,0,14000,85,16,41,
6,0,6000,95,19,41,
8,0,26300,59,16,41,
67,0,0,46,19,41,
48,0,20200,30,13,41,
35,0,11700,70,16,41,
74,0,17000,50,17,41,
3,0,6000,95,19,41,
86,0,2400,18,18,41,
19,0,37900,71,16,41,
5,0,5000,21,19,41,
23,0,0,19,16,41,
43,0,8600,42,14,41,
45,0,8000,18,19,41,
76,0,23900,19,18,41,
19,0,10200,84,17,41,
65,0,6500,18,18,41,
8,0,400,19,17,41,
34,0,0,37,19,41,
5,0,14400,85,16,41,
26,0,10700,62,11,41,
19,0,0,65,14,41,
48,0,22900,71,16,41,
39,0,10500,22,19,41,
17,0,0,17,12,41,
89,0,5000,18,18,41,
46,0,17400,91,16,41,
40,0,0,19,16,41,
59,0,3600,60,16,41,
15,0,1300,79,22,41,
43,0,10200,86,16,41,
29,0,2500,65,13,41,
58,0,310,18,18,41,
81,0,33400,55,16,41,
38,0,20500,84,19,41,
64,0,50000,22,19,41,
51,0,18000,90,16,41,
4,0,14100,57,14,41,
13,0,0,16,12,41,
141,0,14400,72,16,41,
44,0,450,51,21,41,
4,0,50000,32,18,41,
9,0,0,31,11,41,
